name,address,category,monthly_price,notes,lat,lng
CorePower Yoga - Eden Prairie,"7739 Flying Cloud Dr, Eden Prairie, MN 55344",Trainer,,,44.865488476832404,-93.422003550919
Empowers Performance,"7521 Washington Ave S, Edina, MN 55439",Full-Service,,,44.867379940137994,-93.39853225431881
Altman Fitness,"7417 Washington Ave S, Edina, MN 55439",Full-Service,,,44.86833559368531,-93.39782060299405
Pro Fitness Training,"7116 Shady Oak Rd, Eden Prairie, MN 55344",Full-Service,,,44.873963009321905,-93.40516184811933
Fortis Fitness,"7000 Washington Ave S, Eden Prairie, MN 55344",Full-Service,,,44.8763252981666,-93.39931881628071
Higher Power Training,"10360 W 70th St, Eden Prairie, MN 55344",Full-Service,,,44.878361460693185,-93.40830492476017
CrossFit Eden Prairie,"6883 Washington Ave S, Edina, MN 55439",Trainer,,,44.879577851233826,-93.39869188761875
Empower Health & Fitness,"6545 Flying Cloud Dr, Eden Prairie, MN 55344",Trainer,,,44.8837919827182,-93.40680069313647
Burn Boot Camp,"6545 Flying Cloud Dr #200, Eden Prairie, MN 55344",Full-Service,,,44.88410487907033,-93.40703185249401
Train Right Fitness - Crosstown Preserve,"10050 Crosstown Cir, Eden Prairie, MN 55344",Trainer,,,44.89011375858888,-93.40217803675087
Cliff Dynamic Fitness,"6130 Blue Cir Dr, Hopkins, MN 55343",Trainer,,,44.89339033618967,-93.40655022259224
jMO-FIT,"10927 Bren Rd E, Minnetonka, MN 55343",Full-Service,,,44.899234197678375,-93.4167994561229
Defiant Fitness,"11545 K-Tel Dr, Minnetonka, MN 55343",Full-Service,,,44.91266121632041,-93.42397283618634
Tonka Fitness,"701 5th St S, Hopkins, MN 55343",Full-Service,,,44.916251570108585,-93.40970341216492
Planet Fitness,"11323 MN-7, Minnetonka, MN 55343",Full-Service,,,44.934744518650845,-93.42441213306475
N1 Motion,"1002 2nd St NE, Hopkins, MN 55343",Trainer,,,44.928953694311204,-93.38782881189734
The Power House MN: St Louis Park,"7319 W Lake St, St Louis Park, MN 55426",Trainer,160,,44.93512743533926,-93.37150823642052
Vital Fitness,"5710 W 36th St, St Louis Park, MN 55416",Full-Service,,,44.93823630968053,-93.35257418893526
TIGERFIT,"12993 Ridgedale Dr #103, Minnetonka, MN 55305",Full-Service,,,44.96680858566928,-93.44532922994755
MVMT LAB,"12953 Ridgedale Dr, Minnetonka, MN 55305",Trainer,,,44.965715853553476,-93.44374304068515
Ridgedale YMCA,"12301 Ridgedale Dr, Minnetonka, MN 55305",Full-Service,,,44.96586352126223,-93.4351024833452
Planet Fitness,"12431 Wayzata Blvd, Minnetonka, MN 55305",Full-Service,,,44.966985783500604,-93.43652170531685
Anytime Fitness,"11104 Cedar Lk Rd S, Minnetonka, MN 55305",Full-Service,,,44.95438200617982,-93.4195071813788
Snap Fitness St. Louis Park,"7210 Minnetonka Blvd, St Louis Park, MN 55426",Full-Service,,,44.95013486932519,-93.37156105430219
HIT Results Fitness,"2301 Louisiana Ave S, St Louis Park, MN 55426",Trainer,,,44.95966612237935,-93.37063283837254
Life Time,"5525 Cedar Lk Rd S, St Louis Park, MN 55416",Full-Service,,,44.9620141286254,-93.35012822579715
Orangetheory Fitness,"5602 Cedar Lk Rd S, St Louis Park, MN 55416",Trainer,,,44.96398758669826,-93.34960967608667
Anytime Fitness,"1637 West End Blvd, Minneapolis, MN 55416",Full-Service,,,44.966916116571625,-93.34744241862678
Fly Body Fitness,"7600 W 27th St #217, St Louis Park, MN 55426",Full-Service,,,44.95503686579715, -93.37824557455032
ETS Performance Central, "5265 Edina Industrial Blvd, Edina, MN 55439", Trainer,,,44.86261879331789, -93.35738048283474
The Grove Strength And Conditioning, "7705 Bush Lake Rd, Edina, MN 55439", Trainer,,,44.86414264012731, -93.35920466131383
Invicta Training Center, "7320 Bush Lake Rd, Edina, MN 55439", Trainer,,,44.871146215392926, -93.36076225093859
evolve Fitness Edina LLC, "7111 Amundson Ave, Edina, MN 55439", Trainer,,,44.87428335339132, -93.3616906950275
LA Fitness, "4175 W 76th St, Edina, MN 55435", Full-Service,,,44.865339566090036, -93.33193988576268
Planet Fitness, "3441 Hazelton Rd, Edina, MN 55435", Full-Service,,,44.8738610609314, -93.32429190975678
Orangetheory Fitness, "3523 W 70th St, Edina, MN 55435", Trainer,,,44.87570489053414, -93.32575054433813
Life Time, "250 Southdale Ctr, Edina, MN 55435", Full-Service,,,44.88209055977696, -93.32387222866586
Southdale YMCA, "7355 York Ave S, Edina, MN 55435", Full-Service,,,44.870233791191104, -93.32003831877019
Discover Strength, "5041 France Ave S STE 1, Edina, MN 55410", Full-Service,,,44.91148407876417, -93.3287582128391
Tangletown CrossFit, "383 W 60th St, Minneapolis, MN 55419", Trainer,,,44.894399857248104, -93.28457042003019
Snap Fitness Minneapolis, "5409 Nicollet Ave Ste b, Minneapolis, MN 55419", Full-Service,,,44.90638951347803, -93.27726051024851

